,orientation_w,orientation_w_integrated
2043,0.9465972365651592,-0.0045714796941595
2044,0.9422876756825004,-0.0085531073523895
2045,0.9381946972907418,-0.0126016027130616
2046,0.9336158275353864,-0.0167287143751369
2047,0.9289970089686934,-0.0209604114464376
2048,0.9244166154611062,-0.0252817776790799
2049,0.9196362847190784,-0.0296856016775924
2050,0.9150492512322768,-0.0341824771651557
2051,0.9104970659212638,-0.0387524791196451
2052,0.9060130135601956,-0.043390542542419
2053,0.8986763622195324,-0.0481012677215819
2054,0.8936015778690739,-0.0529423596137439
2055,0.887692613776693,-0.0578515314865768
2056,0.8818494652548612,-0.062847325339483
2057,0.8761608752210648,-0.0679257930661673
2058,0.8702842534955059,-0.0730857624514502
2059,0.8640330777517543,-0.0783348960550493
2060,0.8587551694362008,-0.0836583994235697
2061,0.8513648731302594,-0.089014366423357
2062,0.8448361505647185,-0.0944603391375198
2063,0.8383027314363259,-0.0999604303316548
2064,0.8315058099406771,-0.1055266858943704
2065,0.8246189227288565,-0.1111539580305475
2066,0.817601627575684,-0.1168318775093485
2067,0.8106218584096374,-0.1225660548449835
2068,0.803211630090241,-0.128365970157654
2069,0.7955910415625429,-0.1342382825814984
2070,0.7881320854930889,-0.1401620964174581
2071,0.7805033705662436,-0.1461768262057999
2072,0.7731175750496048,-0.1522599928466446
2073,0.7651886280703433,-0.1583685899186352
2074,0.7572620572013377,-0.1645536396627759
2075,0.7491206789086573,-0.1707695860450118
2076,0.7413749268387452,-0.1770351731580859
2077,0.733043017515378,-0.1833549789734565
2078,0.7245941095471652,-0.1897238473992483
2079,0.715927774477206,-0.1961318752561147
2080,0.7074470342980991,-0.202596989413239
2081,0.6986930659401228,-0.2091107412230347
2082,0.6902627758906086,-0.2156601056677707
2083,0.6812713576909679,-0.2222315904151179
2084,0.6725077706573582,-0.228815547294827
2085,0.6638687137867387,-0.2353531013951873
2086,0.6550948954261872,-0.241862680392859
2087,0.6460189177096715,-0.2483572281957596
2088,0.6371488032775222,-0.2549382707582921
2089,0.6279569458875395,-0.2615530711247806
2090,0.6185831782478542,-0.2681849455017166
2091,0.6092396116227734,-0.274839622452277
2092,0.6001396727894401,-0.2815461080607298
2093,0.5906645507243841,-0.2882773578452485
2094,0.580698932098576,-0.2949995853352459
2095,0.572133451990845,-0.3017261335258344
2096,0.5625828687418857,-0.3084513950691475
2097,0.5526712405364805,-0.3151482980636439
2098,0.5431000808531945,-0.3218200100298788
2099,0.53393391452843,-0.3285273142780752
2100,0.5227458740131217,-0.335210235425412
2101,0.512456362589551,-0.3418969153367027
2102,0.5029048432175963,-0.3485693213595583
2103,0.4927270025173192,-0.3552551585330073
2104,0.4832656203314306,-0.3619402575328692
2105,0.4733136626900598,-0.3686053403528657
2106,0.4637843485211945,-0.3752566137984742
2107,0.4534212022919096,-0.3818986684525831
2108,0.4435890788428252,-0.3885450284021131
2109,0.4332286948200642,-0.3951854429570045
2110,0.4232304546211144,-0.4018366652712078
2111,0.4131914104476772,-0.4085433500238229
2112,0.4028525862513952,-0.4152582245820681
2113,0.3927605761180962,-0.4219485001443742
2114,0.3834061167629259,-0.4286047842386504
2115,0.3728627390872506,-0.4352333055807781
2116,0.3627711829320268,-0.4418637866425656
2117,0.35249630945828,-0.4484698582606278
2118,0.3424980756500612,-0.4550326360784009
2119,0.3327663450667403,-0.461541048325145
2120,0.3227194773120877,-0.4679778196601515
2121,0.3125254517529156,-0.4743945997282595
2122,0.3015609904250676,-0.4809019586679939
2123,0.290742392119905,-0.4875553656453458
2124,0.2801199222196997,-0.4942395384887951
2125,0.2697303347474441,-0.5007955352365954
2126,0.2595238002131006,-0.507227144254777
2127,0.2488361972731165,-0.5136659000514293
2128,0.2379049931893341,-0.5201613886700919
2129,0.227269981698351,-0.5267160649867021
2130,0.2163994030864183,-0.5332986384540525
2131,0.2059334990139468,-0.5398649588507161
2132,0.1949479654958597,-0.5463096564953136
2133,0.1841652696898345,-0.552712837764685
2134,0.1738870424735973,-0.5591638022085692
2135,0.1624343929793275,-0.5656466700300582
2136,0.1514776549289427,-0.5721453148878888
2137,0.1414909489992821,-0.5786180444819294
2138,0.1315068428978911,-0.5850109476213776
2139,0.1217056252050499,-0.5913011693424992
2140,0.111679647372337,-0.5975310993782774
2141,0.0989354930447121,-0.6037880828522905
2142,0.0864057649702182,-0.6100779663133339
2143,0.075953738194687,-0.6164153529388314
2144,0.0651891935737506,-0.622748006739586
2145,0.0543416043258702,-0.6290418659715226
